Date,Category,Description,Amount,Person
2024-07-01,Groceries,Weekly grocery shopping,156.32,Combined
2024-07-01,Transportation,Gas for car,45.00,Jim
2024-07-02,Dining Out,Lunch at cafe,28.50,Pam
2024-07-02,Entertainment,Movie tickets,32.00,Combined
2024-07-03,Utilities,Electric bill,142.85,Combined
2024-07-03,Groceries,Farmers market,42.15,Pam
2024-07-04,Dining Out,Fourth of July BBQ supplies,87.50,Combined
2024-07-05,Transportation,Metro pass,95.00,Pam
2024-07-05,Healthcare,Prescription refill,25.00,Jim
2024-07-06,Groceries,Quick grocery run,34.20,Jim
2024-07-07,Entertainment,Concert tickets,120.00,Combined
2024-07-07,Dining Out,Pizza delivery,42.75,Combined
2024-07-08,Groceries,Weekly shopping,168.90,Combined
2024-07-08,Transportation,Gas,48.00,Jim
2024-07-09,Utilities,Internet bill,79.99,Combined
2024-07-10,Dining Out,Brunch,65.30,Combined
2024-07-10,Healthcare,Dental cleaning,150.00,Pam
2024-07-11,Groceries,Snacks and drinks,28.45,Jim
2024-07-12,Entertainment,Streaming service,15.99,Combined
2024-07-12,Transportation,Uber ride,22.50,Pam
2024-07-13,Dining Out,Thai takeout,54.80,Combined
2024-07-14,Groceries,Weekly shopping,145.60,Combined
2024-07-14,Healthcare,Vitamins,32.00,Pam
2024-07-15,Transportation,Gas,46.50,Jim
2024-07-15,Groceries,Bakery items,18.75,Pam
2024-07-16,Dining Out,Coffee shop,12.40,Jim
2024-07-16,Entertainment,Mini golf,38.00,Combined
2024-07-17,Utilities,Water bill,58.20,Combined
2024-07-18,Groceries,Meat and seafood,76.30,Combined
2024-07-18,Transportation,Car wash,25.00,Jim
2024-07-19,Dining Out,Italian restaurant,98.50,Combined
2024-07-20,Healthcare,Doctor copay,35.00,Jim
2024-07-21,Groceries,Weekly shopping,152.40,Combined
2024-07-21,Entertainment,Board games,45.99,Combined
2024-07-22,Transportation,Gas,44.00,Jim
2024-07-22,Dining Out,Sandwich shop,24.60,Pam
2024-07-23,Groceries,Fresh produce,31.85,Pam
2024-07-24,Utilities,Gas bill,92.40,Combined
2024-07-24,Dining Out,Sushi dinner,112.75,Combined
2024-07-25,Healthcare,Contact lenses,180.00,Pam
2024-07-26,Groceries,Weekly shopping,159.20,Combined
2024-07-26,Transportation,Oil change,65.00,Jim
2024-07-27,Entertainment,Zoo tickets,56.00,Combined
2024-07-27,Dining Out,Food truck,18.50,Jim
2024-07-28,Groceries,Dairy products,28.90,Combined
2024-07-29,Transportation,Gas,47.50,Jim
2024-07-29,Dining Out,Breakfast diner,36.80,Combined
2024-07-30,Healthcare,Pharmacy items,42.60,Pam
2024-07-30,Groceries,Snack run,22.35,Jim
2024-07-31,Utilities,Electric bill,155.30,Combined
2024-07-31,Dining Out,Mexican restaurant,76.40,Combined
2024-08-01,Groceries,Monthly stock-up,198.75,Combined
2024-08-01,Transportation,Gas,46.00,Jim
2024-08-02,Entertainment,Bowling,52.00,Combined
2024-08-02,Dining Out,Coffee and pastries,16.80,Pam
2024-08-03,Healthcare,Allergy medication,28.50,Jim
2024-08-03,Groceries,Fresh vegetables,24.60,Pam
2024-08-04,Dining Out,Burger joint,48.90,Combined
2024-08-05,Transportation,Metro card refill,95.00,Pam
2024-08-05,Groceries,Weekly shopping,167.45,Combined
2024-08-06,Utilities,Internet and phone,125.99,Combined
2024-08-06,Entertainment,Museum admission,42.00,Combined
2024-08-07,Dining Out,Chinese takeout,62.30,Combined
2024-08-08,Groceries,Beverages,31.20,Jim
2024-08-08,Transportation,Gas,49.50,Jim
2024-08-09,Healthcare,Eye exam,125.00,Jim
2024-08-09,Dining Out,Lunch special,19.95,Pam
2024-08-10,Groceries,Organic produce,58.80,Pam
2024-08-11,Entertainment,Video game,59.99,Jim
2024-08-11,Dining Out,Brunch spot,71.25,Combined
2024-08-12,Groceries,Weekly shopping,172.60,Combined
2024-08-12,Transportation,Parking fees,18.00,Pam
2024-08-13,Utilities,Water and sewage,64.75,Combined
2024-08-13,Dining Out,Pizza night,38.50,Combined
2024-08-14,Healthcare,Physical therapy,50.00,Pam
2024-08-15,Groceries,Frozen foods,45.30,Combined
2024-08-15,Transportation,Gas,45.00,Jim
2024-08-16,Dining Out,Coffee date,14.60,Combined
2024-08-16,Entertainment,Art supplies,67.40,Pam
2024-08-17,Groceries,Bakery items,26.85,Pam
2024-08-18,Dining Out,Steakhouse dinner,156.90,Combined
2024-08-18,Transportation,Toll road,12.50,Jim
2024-08-19,Groceries,Weekly shopping,163.25,Combined
2024-08-19,Healthcare,Flu shots,80.00,Combined
2024-08-20,Entertainment,Movie rental,6.99,Combined
2024-08-20,Dining Out,Deli sandwiches,26.40,Jim
2024-08-21,Utilities,Electric bill,148.60,Combined
2024-08-21,Groceries,Snacks,19.75,Pam
2024-08-22,Transportation,Gas,47.00,Jim
2024-08-22,Dining Out,Thai food,58.80,Combined
2024-08-23,Healthcare,Prescription,35.00,Jim
2024-08-23,Groceries,Meat department,82.50,Combined
2024-08-24,Entertainment,Escape room,78.00,Combined
2024-08-25,Dining Out,Breakfast cafe,42.30,Combined
2024-08-25,Groceries,Weekly shopping,158.90,Combined
2024-08-26,Transportation,Car maintenance,185.00,Jim
2024-08-26,Healthcare,Chiropractor,75.00,Pam
2024-08-27,Dining Out,Sushi lunch,67.20,Combined
2024-08-27,Groceries,Dairy and eggs,32.45,Jim
2024-08-28,Entertainment,Concert,180.00,Combined
2024-08-28,Utilities,Gas bill,88.30,Combined
2024-08-29,Groceries,Produce section,41.70,Pam
2024-08-29,Transportation,Gas,48.50,Jim
2024-08-30,Dining Out,BBQ restaurant,94.60,Combined
2024-08-30,Healthcare,Vitamins and supplements,56.80,Pam
2024-08-31,Groceries,End of month shopping,176.30,Combined
2024-08-31,Dining Out,Ice cream,15.90,Combined
2024-09-01,Transportation,Metro pass,95.00,Pam
2024-09-01,Entertainment,Bookstore,48.75,Jim
2024-09-02,Groceries,Labor Day cookout,125.60,Combined
2024-09-02,Dining Out,Coffee shop,11.20,Pam
2024-09-03,Utilities,Internet bill,79.99,Combined
2024-09-03,Healthcare,Dentist appointment,200.00,Jim
2024-09-04,Groceries,Weekly shopping,154.80,Combined
2024-09-04,Transportation,Gas,46.50,Jim
2024-09-05,Dining Out,Mediterranean food,72.40,Combined
2024-09-05,Entertainment,Craft store,34.60,Pam
2024-09-06,Groceries,Fresh fish,52.30,Combined
2024-09-06,Healthcare,Over-the-counter meds,24.95,Jim
2024-09-07,Dining Out,Brunch buffet,58.00,Combined
2024-09-08,Transportation,Uber to airport,45.00,Pam
2024-09-08,Groceries,Quick shop,28.70,Jim
2024-09-09,Entertainment,Streaming subscription,12.99,Combined
2024-09-09,Utilities,Electric bill,162.45,Combined
2024-09-10,Dining Out,Japanese restaurant,89.50,Combined
2024-09-10,Healthcare,Eye drops,18.50,Pam
2024-09-11,Groceries,Weekly shopping,169.40,Combined
2024-09-11,Transportation,Gas,49.00,Jim
2024-09-12,Dining Out,Lunch takeout,23.80,Jim
2024-09-12,Entertainment,Mini golf,35.00,Combined
2024-09-13,Groceries,Organic section,64.25,Pam
2024-09-13,Healthcare,Physical exam,150.00,Pam
2024-09-14,Dining Out,Pizza delivery,44.60,Combined
2024-09-14,Transportation,Car wash,28.00,Jim
2024-09-15,Utilities,Water bill,59.80,Combined
2024-09-15,Groceries,Pantry staples,71.35,Combined
2024-09-16,Entertainment,Sports equipment,156.00,Jim
2024-09-16,Dining Out,Coffee and muffin,13.40,Pam
2024-09-17,Healthcare,Prescription refill,42.00,Jim
2024-09-17,Groceries,Fresh produce,36.90,Pam
2024-09-18,Groceries,Weekly shopping,175.50,Combined
2024-09-18,Transportation,Gas,47.50,Jim
2024-09-19,Dining Out,Indian restaurant,81.70,Combined
2024-09-19,Entertainment,Movie theater,38.00,Combined
2024-09-20,Utilities,Gas bill,95.60,Combined
2024-09-20,Healthcare,Massage therapy,90.00,Pam
2024-09-21,Groceries,Bakery order,42.80,Combined
2024-09-21,Dining Out,Sandwich shop,21.50,Jim
2024-09-22,Transportation,Oil change and filter,72.00,Jim
2024-09-22,Groceries,Frozen section,38.45,Combined
2024-09-23,Entertainment,Pottery class,85.00,Pam
2024-09-23,Dining Out,Taco Tuesday,36.90,Combined
2024-09-24,Healthcare,Urgent care visit,75.00,Jim
2024-09-24,Groceries,Weekly shopping,162.30,Combined
2024-09-25,Transportation,Gas,48.00,Jim
2024-09-25,Dining Out,Breakfast spot,47.20,Combined
2024-09-26,Utilities,Electric bill,158.75,Combined
2024-09-26,Entertainment,Bookstore,52.40,Pam
2024-09-27,Groceries,Cheese and wine,68.90,Combined
2024-09-27,Healthcare,Supplements,44.50,Jim
2024-09-28,Dining Out,Seafood restaurant,124.80,Combined
2024-09-28,Transportation,Metro card,95.00,Pam
2024-09-29,Groceries,Sunday shopping,148.65,Combined
2024-09-29,Entertainment,Arcade,42.00,Combined
2024-09-30,Dining Out,End of month dinner,96.40,Combined
2024-09-30,Healthcare,Pharmacy run,31.75,Pam
2024-07-05,Groceries,Household supplies,54.30,Combined
2024-07-06,Dining Out,Coffee run,8.75,Jim
2024-07-08,Entertainment,Podcast subscription,4.99,Jim
2024-07-10,Transportation,Parking meter,6.50,Pam
2024-07-12,Healthcare,First aid supplies,22.80,Combined
2024-07-14,Dining Out,Food court,18.60,Pam
2024-07-16,Groceries,Condiments and sauces,26.40,Combined
2024-07-18,Entertainment,Plant nursery,38.50,Pam
2024-07-20,Transportation,Gas,45.50,Jim
2024-07-22,Utilities,Trash service,42.00,Combined
2024-07-24,Groceries,Specialty items,61.20,Combined
2024-07-26,Dining Out,Food delivery,38.90,Combined
2024-07-28,Healthcare,Bandages and ointment,16.45,Jim
2024-07-30,Entertainment,Magazine subscription,12.00,Pam
2024-08-01,Transportation,Parking garage,15.00,Jim
2024-08-03,Dining Out,Smoothie bar,14.50,Pam
2024-08-05,Groceries,Pet food,48.75,Combined
2024-08-07,Entertainment,Fitness app,9.99,Pam
2024-08-09,Healthcare,Cold medicine,19.50,Jim
2024-08-11,Transportation,Gas,46.75,Jim
2024-08-13,Groceries,International foods,52.60,Combined
2024-08-15,Dining Out,Food truck festival,45.30,Combined
2024-08-17,Utilities,Cell phone bill,138.00,Combined
2024-08-19,Entertainment,Craft supplies,29.85,Pam
2024-08-21,Healthcare,Heating pad,24.99,Pam
2024-08-23,Groceries,Bulk items,88.40,Combined
2024-08-25,Transportation,Car registration,95.00,Jim
2024-08-27,Dining Out,Dessert shop,22.60,Combined
2024-08-29,Entertainment,Digital album,11.99,Jim
2024-08-31,Healthcare,Sleep aid,17.80,Jim
2024-09-02,Transportation,Gas,48.25,Jim
2024-09-04,Groceries,Cleaning supplies,36.75,Combined
2024-09-06,Dining Out,Bagel shop,16.40,Jim
2024-09-08,Entertainment,Cooking class,75.00,Combined
2024-09-10,Utilities,Renters insurance,85.00,Combined
2024-09-12,Healthcare,Pain reliever,13.25,Pam
2024-09-14,Groceries,Spices and herbs,28.90,Combined
2024-09-16,Transportation,Gas,47.80,Jim
2024-09-18,Dining Out,Soup and salad,31.50,Pam
2024-09-20,Entertainment,Outdoor gear,124.00,Jim
2024-09-22,Healthcare,Multivitamins,38.60,Combined
2024-09-24,Groceries,Baking supplies,44.25,Pam
2024-09-26,Transportation,Tire rotation,45.00,Jim
2024-09-28,Dining Out,Wine bar,68.50,Combined
2024-09-30,Entertainment,Photo printing,32.75,Combined
2024-07-07,Utilities,Streaming bundle,29.99,Combined
2024-07-09,Groceries,Breakfast items,34.85,Combined
2024-07-11,Transportation,Bus tickets,12.00,Pam
2024-07-13,Healthcare,Sunscreen,16.99,Combined
2024-07-15,Dining Out,Salad bar,22.40,Pam
2024-07-17,Entertainment,Music streaming,10.99,Jim
2024-07-19,Groceries,Canned goods,41.60,Combined
2024-07-21,Transportation,Gas,44.75,Jim
2024-07-23,Healthcare,Thermometer,21.50,Combined
2024-07-25,Dining Out,Donuts,18.90,Combined
2024-07-27,Entertainment,Puzzle set,24.99,Pam
2024-07-29,Groceries,Lunch supplies,52.30,Combined
2024-07-31,Transportation,Uber,28.50,Pam
2024-08-02,Healthcare,Ankle brace,32.75,Jim
2024-08-04,Dining Out,Poke bowl,26.80,Pam
2024-08-06,Groceries,Baby supplies,67.40,Combined
2024-08-08,Entertainment,Gaming subscription,14.99,Jim
2024-08-10,Transportation,Gas,46.25,Jim
2024-08-12,Utilities,HOA fees,125.00,Combined
2024-08-14,Healthcare,Lip balm,5.50,Pam
2024-08-16,Dining Out,Juice bar,19.75,Pam
2024-08-18,Groceries,Party supplies,72.85,Combined
2024-08-20,Entertainment,Comedy show tickets,92.00,Combined
2024-08-22,Transportation,Parking app,8.00,Jim
2024-08-24,Healthcare,Hand sanitizer,12.40,Combined
2024-08-26,Dining Out,Breakfast burrito,15.30,Jim
2024-08-28,Groceries,Household items,58.90,Combined
2024-08-30,Entertainment,Canvas and paint,46.70,Pam
2024-09-01,Transportation,Gas,49.50,Jim
2024-09-03,Healthcare,Face masks,14.80,Combined
2024-09-05,Dining Out,Crepe shop,24.60,Combined
2024-09-07,Groceries,Fruit basket,38.25,Pam
2024-09-09,Entertainment,E-book,12.99,Jim
2024-09-11,Transportation,Bike repair,55.00,Pam
2024-09-13,Utilities,Storage unit,89.00,Combined
2024-09-15,Healthcare,Heating patches,18.75,Jim
2024-09-17,Dining Out,Bubble tea,13.80,Pam
2024-09-19,Groceries,Deli meats,42.60,Combined
2024-09-21,Entertainment,Yoga mat,34.99,Pam
2024-09-23,Transportation,Gas,48.75,Jim
2024-09-25,Healthcare,Cough drops,8.95,Jim
2024-09-27,Dining Out,Ramen shop,36.40,Combined
2024-09-29,Groceries,Kitchen gadgets,51.20,Combined